LN,FN,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Films
Pickett,Bill,,,,,,"The Bull-Dogger,The Crimson Skull",,,,Oscar Micheaux and His Circle,,,
Pierson,Don,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Platts,Harold,,,,,,The Flying Ace,,,,Oscar Micheaux and His Circle,,,
Pleasants,Henry,Henry Pleasant,,,,,"The Secret Sorrow,Ties of Blood",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Pollard,R.L.,,,,"The African American ""front man"" for Ebony Productions, per Peterson. --MP",,,,,,,,Ebony Film Corporation,
Pollard,Frank,,,,,,"A Black and Tan Mix-Up,A Black Sherlock Holmes,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around,The Janitor ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Preer,Evelyn,,8/16/1896,11/27/32,,,"The Brute,Within Our Gates,Birthright,Brown Gravy,The Conjure Woman,Deceit,The Devil's Disciple,The Dungeon,The Homesteader,The Gunsaulus Mystery,Spider's Web",,,,,,,
Price,Mildred,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around,The Janitor ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Pryor,H.L.,,,,,,Easy Money,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Purty,Jessie,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Ray,Arthur,,,,,,"Ties of Blood,The Burden of Race,Thirty Years Later",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Reed,George,,,,,,Absent,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Reiger,Arthur C.,,,,"Shareholder in Reol Productions, per Peterson. --MP",,,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,Reol Productions Corporation,
Reynolds,Steve,,,,,,"The Flying Ace,The Green-Eyed Monster,The Bull-Dogger,The Crimson Skull,Regeneration,Black Gold",,,,,,,
Rice,Versia,,,,,,As the World Rolls On,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Robeson,Paul,,,,,,Body and Soul,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,,
Robinson,Mademe,Mme. Robinson,,,,,"Body and Soul,Spitfire,Thirty Years Later,A Daughter of the Congo",,,,,,,
Robinson,Bill,"Bill ""Bojangles"" Robinson",,,,,"Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Hello Bill",,,,The Ambitions of William Foster,,,
Robinson,Arthur,,,,,,Spitfire,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Robinson,Sam,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around,The Janitor ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,
Robinson,James,,,,,,Tenderfeet,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Rogers,Marshall,,,,,,Body and Soul,,,,,,,
Rogers,Hilda,,,,,,Temptation,,,,Slow Fade to Black,,,
Rucker,Clarence,,,,,,Regeneration,,,,Oscar Micheaux and His Circle,,,
Russell,Julia Theresa,,,,,,Body and Soul,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,,
Russell,Alice B.,,6/30/1892,12/1/84,,,"The Wages of Sin,When Men Betray,The Broken Violin,A Daughter of the Congo,Easy Street",,,,,,,
Russell,James,,,,,,A Fool and His Money,,,,,,,
Scott,Emmett J.,,,,,,,,The Birth of a Race,,Richard E. Norman and Race Filmmaking,,,
Scraggins,Traverse,,,,,,,,,,Slow Fade to Black,,Frederick Douglass Film Company,
Selby,J.G.,,,,,,The Wife Hunters,,,,,,,
Shackeford,Floyd,,,,,,Absent,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Shannon,Alex K.,,,,,,"The Simp,Easy Money",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Shoecraft,Joseph,,,,,,,,,,,,Foster Photoplay Company,
Simpson,Walter,,,,,,As the World Rolls On,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Skekeeter,Evon,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around,The Janitor ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Slater,Bob,,,,,,"Spitfire,The Schemers",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Slaughter,Cassie Butch,,,,,,The Railroad Porter,,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,
Smith,James Thomas,,,,,,,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,Lincoln Motion Picture Company,
Smith,Ethel,,,,,,"The Wages of Sin,Smiling Hate,When Men Betray,Ten Nights in a Barrooom,The Broken Violin,A Prince of His Race,Ten Nights in a Bar-Room ",,,,,,,
Smith,A.W.,Dr. A. W. Smith,,,,,,,,,Richard E. Norman and Race Filmmaking,,Frederick Douglass Film Company,
Smith,Grace,Grace Smythe,,,,,The Millionaire,,,,Slow Fade to Black,,,
Smith,Speedy,,,,,,"Spitfire,Sam and the Bully",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Smith,Jimmie,,,,,,The Trooper of Company K,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Snelson,Gertrude,,,,,,"The Wages of Sin,When Men Betray,Thirty Years Later,The Broken Violin,A Daughter of the Congo",,,,,,,
Snowden,Carolynne,,,,,,,,,,Slow Fade to Black,,,
Starkman,David,,,,,,,,"Ten Nights in a Barrooom,Children of Fate,A Prince of His Race,Ten Nights in a Bar-Room ",,Richard E. Norman and Race Filmmaking,The Scar of Shame,Colored Players Film Corporation of Philadelphia,
Starks,Will,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,Within Our Gates,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around,The Janitor ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Stern,Ernest,,,,,,,The Witching Eyes,The Witching Eyes,,"""Within Our Gates: Ethnicity in American Feature Films, 1911-1960""",The Witching Eyes,,
Steven,James,,,,,,The Call of His People,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Stevens,V.,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Stewart,Robert,,,,,,The Love Bug,,,,Oscar Micheaux and His Circle,,,
Strasser,Ben,,,,,,,His Great Chance,A Shot in the Night,,Slow Fade to Black,,Ben Strasser,
Sul-Te-Wan,Madame,Nellie Wan,3/7/1873,2/1/59,,,,,,,"Slow Fade to Black,""African American Actresses: The Struggle for Visibility, 1900-1960""",,,
Talley,Josephine,,,,,,Smiling Hate,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Tatums,Marshal L.B.,,,,,,Black Gold,,,,Oscar Micheaux and His Circle,,,
Thomas,Walter,,,,,,"The Sport of the Gods,The Schemers",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Thomas,Reed,,,,,,As the World Rolls On,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Thompson,Blanche,Blanch Thompson,,,,,"As the World Rolls On,The Dungeon",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Townsend,Edward,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Tucker,Lorenzo,,6/27/07,8/19/86,,,"The Wages of Sin,Temptation,The Witching Eyes,When Men Betray,A Daughter of the Congo,Easy Street",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Turpin,Bennie,,,,,,The Bull-Dogger,,,,Oscar Micheaux and His Circle,,,
Turpin,Charles H.,,,,,,,Turpin's Real Reels,Pythian Parade and 19th Biannual Encampment,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Ujiffy,Ray,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Smiling Hate,,
Vernot,Henry J.,,,,,,,The Sport of the Gods,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Verwayen,Percy,Percy Verwayn,,,,,"The Secret Sorrow,The Call of His People,The Burden of Race,The Simp,Easy Money,Body and Soul,The Conjure Woman,A Daughter of the Congo,The Devil's Disciple",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Walpole,Stanley,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Walton,J.T.,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Washington,Booker T.,,,,,,A Trip to Tuskegee,,,,,,,
Washington,Mildred,,,,,,Tenderfeet,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Washington,Flora,,,,,,Tenderfeet,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Weber,Rex,,,,,,,Smile Film of Colored Troops' Folks,,Smile Film of Colored Troops' Folks,The Ambitions of William Foster,,,Smile Film of Colored Troops' Folks
White,Bob,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Whitney,Salem Tut,,,,,,"The Witching Eyes,Birthright,A Daughter of the Congo",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Williams,Spencer,,1/1/1893,1/1/69,,,"Tenderfeet,Brown Gravy",Tenderfeet,Tenderfeet,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Brown Gravy,,
Williams,Elizabeth,,,,,,The Burden of Race,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Williams,Ed,,,,,,Spitfire,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Williams,Leon,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Williams,Ruth,,,,,,Thirty Years Later,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Woodson,J. H.,,,,,,The Secret Sorrow,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Young,Mabel,,,,,,"The Burden of Race,Spitfire,Deceit,The Gunsaulus Mystery",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Lewis,Edgar,,,,,,,,The Bar Sinister,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Coleman,Bessie,,,,,,"Bessie Coleman,Bessie Coleman",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Noble,John W.,,,,,,,The Birth of a Race,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Tutt,Homer J.,J. Homer Tutt,,,,,"Birthright,The Broken Violin",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Mines,Callie,,,,,,Birthright,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Tatum,E.G.,Edward Tatum,,,,,"Birthright,Body and Soul,The Custard Nine,Within Our Gates,The Brute,The Symbol of the Unconquered,The Gunsaulus Mystery,A Son of Satan,The Millionaire",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Elkas,Edward,Ed Elkins,,,"In record for Birthright in Richards, this actor is listed as Edward Elkas. In Musser et al.'s Micheaux filmography, he's listed as Ed Elkins. --MP",,Birthright,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,
Sewall,Alma,Alma Sewell,,,,,"Birthright,The Conjure Woman",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Crowell,T.C.,,,,,,Birthright,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Phillips,R.G.,,,,,,,A Black Sherlock Holmes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Russell,Julia Theresa,,,,,,Body and Soul,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Foster,Daisy,,,,,,The Broken Violin,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Horne,Boots,Boots Hope,,,"Name given as Boots Hope in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. Given as Boots Horne in Richards. --MP",,The Broken Violin,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Hill,W.,Pickaninny Hill,,,,,The Broken Violin,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Thompson,Edward,Eddie Thompson,,,,,"Brown Gravy,The Devil's Disciple,Spider's Web",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Christie,Al,,,,,,,,"Brown Gravy,Roll Along",,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Sutton,Susie,,,,,,The Brute,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Thompson,Anita,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
King,Webb,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Bates,Lester,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Meehan,Lew,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Ellenwood,Grace,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Kinbrough,Baby Ruth,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Childers,Helen,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
George,Beatrice,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Prevost,Minnie,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Bates,Leo,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Mitchell,Dora,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Brower,Aubrey,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",The Call of His People,,
Jackson,Alonzo,,,,,,Children of Fate,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Parker,Fred,,,,,,A Chocolate Cowboy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Reavis,Teddy,,,,,,A Chocolate Cowboy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Blake,Eubie,,,,,,"Chocolate Dandies,Sissle and Blake,Sissle and Blake",Snappy Tunes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Sissle,Noble,,,,,,"Chocolate Dandies,Sissle and Blake,Sissle and Blake",Snappy Tunes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Europe,James Reese,,,,,,Clef Club Five Minutes for Train,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Mosley,Thomas M.,,,,,,The Colored American Wining His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Askins,Ida,,,,,,The Colored American Wining His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Snead,Florence,,,,,,The Colored American Wining His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Davis,Marshall,,,,,,The Colored American Wining His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
King,F.,,,,,,The Colored American Wining His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Leighton,Fred,,,,,,The Colored American Wining His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Snead,Edgar,,,,,,The Colored American Wining His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Snead,Mrs. E.,,,,,,The Colored American Wining His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Fullen,Louise,,,,,,Come Back,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Nolan,K.D.,,,,,,Come Back,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Ray,Ellen,,,,,,Come Back,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Watson,Ethel,,,,,,Come Back,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Price,Victor,,,,,,Come Back,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Whipper,Leigh,"Lee Whipper, Lee Whipple",,,,,The Symbol of the Unconquered,"A Regeneration of Souls,Renissance Newsreel","Come Back,A Regeneration of Souls,Renissance Newsreel",,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Chestnutt,Charles,,,,"Author of novel on which The Conjure Woman was based. --MP

Author of ""Behind the Hills,"" story on which Deceit was based. --MP",,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,"The Conjure Woman,Deceit"
Custard,Virgil,,,,,,The Custard Nine,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Criddle,Baltimore,,,,,,The Custard Nine,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Jenkins,Wesley,,,,,,The Custard Nine,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Fletcher,Tom,,,,,,The Custard Nine,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Haywood,Ginn,,,,,,,The Custard Nine,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Byron,Lillian,,,,,,Dark and Cloudy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Ovey,George,,,,,,Dark and Cloudy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Williams,Bert,,,,,,"Darktown Jubilee,Fish",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Byrd,Joe,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Williams,Willhelmina,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Redd,Clarence,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Irving,Roland,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Moore,Charles,,,,,,"A Daughter of the Congo,The Homesteader",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Guilford,Willor Lee,,,,,,"A Daughter of the Congo,Easy Street",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Wilson,Speedy,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Harding,Daisy,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Dawson,Rudolph,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Burton,Russell A.,,,,,,,,"A Daughter of the Congo,Easy Street",,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Truate,A.B.,,,,,,A Day in the Nation's Capital,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Clifford,J. Williams,Lieut. J. Williams Clifford,,,,,,,A Day in the Nation's Capital,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Anderson,Ida,,,,,,"Deceit,A Son of Satan",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Desmond,Cleo,,,,,,"Deceit,The Millionaire",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Lucas,George,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Johnstone,Norman,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Watkins,Mary,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
De Bulger,Louis,Louis DeBulger,,,,,"Deceit,The Gunsaulus Mystery",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Watkins,Cornelious,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Miller,Mrs. Irvin C.,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
McGowan,Ira O.,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Schooler,Lewis,,,,,,"Deceit,The Brute",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Brown,Jerry,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Carey,James,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Miles,Viola,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Brown,N.,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Coldwell,J.,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Sandifer,F.,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Billings,Jesse R.,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Dixon,Allen D.,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Galezio,Leonard,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Peterson,William,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Carey,Sadie,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Henry,Milton,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Long,Walter,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,"The Devil's Match,His Great Chance,A Shot in the Night",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,
Cox,Jimmie,,,,,,The Disappearance of Mary Jane,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Pope,Lucille,,,,,,Dixie Love,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Gregg,Richard,,,,,,Dixie Love,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Childress,Alvin,,,,"Director for Paragon Pictures, per Sampson (78). --MP",,Dixie Love,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,Paragon Pictures,
Hargrave,Myrtle,,,,,,,Dixie Love,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
MacCullough,Jack,,,,,,,Do the Dead Talk?,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Goodman,J.K.,,,,,,The Dungeon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Crowell,W.F.,,,8/1/29,"DOD given in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,The Dungeon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,
Cooke,Earl Brown,,,,,,The Dungeon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Green,Eddie,,,,,,Eddie Green's Rehearsal,Eddie Green's Rehearsal,Eddie Green's Rehearsal,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Pope,Leo,,,,,,Eleven P.M.,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Lane,Sammie,,,,,,Eleven P.M.,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Williams,H. Marion,,,,,,Eleven P.M.,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Palmer,Harry,,,,,,,Escapades of Estelle,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Arnett,Billy,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Jones,Clayburn,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Bradford,I.D.,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Arnett,Grace,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Lochart,Ida,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
McGarr,,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Taylor,Ruby,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Fox,George,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Flowers,Tiger,,,,,,The Fighting Deacon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Miller,Walt,,,,,,,,,,,,,
