LN,FN,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Films
Clough,Inez,,,,,,"The Secret Sorrow,Ties of Blood,The Simp,Easy Money",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Colvin,George,,,,,,The Flying Ace,,,,,,,
Cook,Sam,,,,,,Spitfire,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Cooper,Kinky,,,,,,The Grafter and the Girl,,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,
Cornick,Walter,,,,,,Body and Soul,,,,,,,
Crawford,Sam,,,,,,As the World Rolls On,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Criner,J. Lawrence,,,,,,"The Flying Ace,Black Gold,The Millionaire,The Brute",,,,Oscar Micheaux and His Circle,,,
Crosby,Orma,,,,,,The Schemers,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Dabney,Ardelle,"Ardella Dabney, Adelle Dabney",,,,,"Thirty Years Later,The Broken Violin,The Wages of Sin",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Daniels,Lyons,,,,,,The Flying Ace,,,,Oscar Micheaux and His Circle,,,
Davis,A. Porter,Dr. A. Porter Davis,,,,,,The Lure of a Woman,,,Slow Fade to Black,,,
Deans,William,,,,,,"When Good Luck Comes Our Way,When Good Luck Comes Our Way",,"When Good Luck Comes Our Way,When Good Luck Comes Our Way",,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
DeComathiere,A.B.,,11/19/1877,5/18/40,,,"The Brute,Thirty Years Later,Deceit",,,,,,,
DeLegge,Boise,,,,,,The Flying Ace,,,,Oscar Micheaux and His Circle,,,
Doe,John,,,,,,The Pullman Porter,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,,
Dones,Sidney P.,,1/1/1888,1/1/47,"Noted as president, Bookertee Film Co., in GPJ Collection, Box 4, folder Bookertee Film Exchange. --MP",,"""The $10,000 Trail"",Reformation,Loyal Hearts",Loyal Hearts,"""The $10,000 Trail""",,"Slow Fade to Black,George P. Johnson Negro Film Collection",,"Bookertee Film Company,Sidney P. Dones",
Dorsey,D. A.,,,,,,,,Fighting His Way Thru,,Richard E. Norman and Race Filmmaking,,,
Dudley,Sherman,Uncle Dud,,,,,"The Simp,Easy Money,Reckless Money","Easy Money,Reckless Money",Reckless Money,,Slow Fade to Black,,Colored Players Film Corporation of Philadelphia,
Dunbar,Louise,,,,,,The Green-Eyed Monster,,,,Oscar Micheaux and His Circle,,,
Dunbar,Paul Lawrence,,,,,,,,,,Slow Fade to Black,,,The Sport of the Gods
Duncan,Hadley J.,,,,Wrote story on which The Burden of Race is Based (Peterson). --MP,,,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,The Burden of Race
Duree,Robert,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Edmondson,William,William Edmundson,,,,,"Thirty Years Later,The Millionaire",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Ellis,George W.,,,,,,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,,The Ambitions of William Foster,,,
Fetchit,Stepin,,,,,,,,,,Slow Fade to Black,,,
Fielding,Romaine,,,,,,From Champion to Tramp,,,,,,,
Fish,Albert A.,,,,"""Supervised"" Smiling Hate (Richards).",,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,Smiling Hate
Fisher,Isaac,,,,,,,,,,,When True Love Wins,,
Folsom,Cora Mae,,,,Concept development,,,,"John Henry at Hampton: A Kind of Student Who Makes Good,The New Era,Making Negro Lives Count,Cephas Returns",,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,
Forrest,Edgar,,,,"According to Peterson, he is sometimes named as director of Sport of the Gods, although Vernot is named more frequently. --MP",,,The Sport of the Gods,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,The Sport of the Gods
Foster,William,Juli Jones,,4/19/40,"

",,,"The Barber,The Colored Championship Base Ball Game,8th Regiment Departing for Texas & Relatives of 8th Regiment Troops,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Mother,Smile Film of Colored Troops' Folks,YMCA Dedication,Birth Mark,Brother,Florida Crackers,Fool and Fire,A Woman's Worst Enemy","The Barber,The Colored Championship Base Ball Game,8th Regiment Departing for Texas & Relatives of 8th Regiment Troops,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Mother,Smile Film of Colored Troops' Folks,YMCA Dedication,Birth Mark,Fool and Fire,A Woman's Worst Enemy,Brother,The Butler,Florida Crackers,A Woman's Worst Enemy",Smile Film of Colored Troops' Folks,Envisioning Freedom: Cinema and the Building of Modern Black Life,The Barber,Foster Photoplay Company,"Black Narcissus,In and Out,Fowl Play,High Toned,Darktown Follies,Honest Crooks"
Foster,"Andrew ""Rube""",,,,,,The Colored Championship Base Ball Game,,,,The Ambitions of William Foster,,,
Fountaine,William E.,,,,,,"Uncle Jasper's Will,The Dungeon,The Virgin of Seminole",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Frisbie,Maud,,,,,,The Love Bug,,,,Oscar Micheaux and His Circle,,,
Gaines,Charles,,,,,,Regeneration,,,,Oscar Micheaux and His Circle,,,
Gant,Harry,,,,,,,Absent,Absent,"Absent,Tracks,A Day with the Tenth Cavalry at Fort Huachaca,The Heart of A Negro,By Right of Birth,A Man's Duty,The Law of Nature,The Trooper of Company K,The Realization of a Negro's Ambition,By Right of Birth","""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Gibbens,Bessie,,,,,,"The Wages of Sin,When Men Betray",,,,,,,
Gibson,Mae,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Gilbert,Mercedes,,7/26/1894,3/1/52,Actor,,"Body and Soul,The Call of His People",,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,
Gilbert,Mercedes,,,,,,The Call of His People,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Gilliam,Allie,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Gilpin,Charles,,,,,,"Ten Nights in a Barrooom,The Scar of Shame,A Prince of His Race,Ten Nights in a Bar-Room ",,,,Slow Fade to Black,,,
Grady,Lottie,,,,,,"The Grafter and the Girl,The Railroad Porter",,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,
Grant,H.C.,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Groner,Louis,,,,,,,,"Ten Nights in a Barrooom,A Prince of His Race,Ten Nights in a Bar-Room ",,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Guy-BlachÃ©,Alice,,,,,,,A Fool and His Money,,,,,Solax Film Company,
Haddon,Pete,,,,,,"The Bull-Dogger,The Crimson Skull",,,,Oscar Micheaux and His Circle,,,
Hall,Lindsay J.,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Hall,Beulah,,,,,,"The Trooper of Company K,The Realization of a Negro's Ambition",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Hanson,Robert,,,,"Field (2016): ""(It is not clear who Robert
Hanson was, though he might be the â€œwhite gentlemanâ€ù who reportedly
lent Foster the funds to purchase a moving picture camera.)"" (54).",,,,,,The Ambitions of William Foster,,Foster Photoplay Company,
Harper,Billy,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Harris,Stella,,,,,,The Barber,,,,The Ambitions of William Foster,,,
Harris,Clifford,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Harris,Leorine,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Harrison,Richard B.,,,,,,"Easy Street,The Grafter and the Girl",,,,Slow Fade to Black,,,
Haynes,Hunter,,,,,,,The Tango Queen,The Tango Queen,,Richard E. Norman and Race Filmmaking,,Afro-American Film Company,
Henderson,Harry,,,,,,"Smiling Hate,Ten Nights in a Barrooom,Children of Fate,A Prince of His Race,Ten Nights in a Bar-Room ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Holt,Anna,,,,,,The Barber,,,,The Ambitions of William Foster,,,
Horn,P. D.,,,,"Bowser et al. does not list him as a cast member of Black Gold, but Lupack does. -- MP",,Black Gold,,,,Richard E. Norman and Race Filmmaking,,,
Howard,Shingzie,,,,,,"The House Behind the Cedars,The Scar of Shame,Ten Nights in a Barrooom,Uncle Jasper's Will,Children of Fate,The Dungeon,St. Louis Blues,The Virgin of Seminole,A Son of Satan,A Prince of His Race",,,,"Richard E. Norman and Race Filmmaking,Slow Fade to Black",,,
Jacks,Samuel,Sambo Jacks,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,Within Our Gates,A Reckless Rover,Shine Johnson and the Rabbit Foot,The Millionaire,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Jeannette,Joe,,,,,,Square Joe,,,,Slow Fade to Black,,,
Johnson,Noble,,4/18/1881,1/9/78,,,"Mr. Carlson of Arizona,From Champion to Tramp,Body and Soul,The Trooper of Company K,The Realization of a Negro's Ambition,The Law of Nature,Tracks","Mr. Carlson of Arizona,The Realization of a Negro's Ambition,The Trooper of Company K",A Man's Duty,,,,Lincoln Motion Picture Company,
Johnson,George,,,,,,,The Law of Nature,"The Realization of a Negro's Ambition,The Trooper of Company K,The Law of Nature,A Man's Duty",,,"By Right of Birth,By Right of Birth",,
Johnson,Lillian,,,,,,Body and Soul,,,,,,,
Johnson,Maud,,,,,,The Love Bug,,,,Oscar Micheaux and His Circle,,,
Johnson,William,,,,,,"Ten Nights in a Barrooom,Ten Nights in a Bar-Room ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Johnson,Jack,,,1/1/46,,,"As the World Rolls On,For His Mother's Sake,Black Thunderbolt",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Jones,Henry,"Henry ""Teenan"" Jones",,,Financed Foster Photoplay Co. in 1916 (per Field 2016),,,,,,,,Foster Photoplay Company,
Jones,Peter P.,,,,,,,"The Slacker,The Troubles of Sambo and Dinah,Colored Soldiers Fighting in Mexico,The Dawn of Truth,Progress of the Negro,Re-Birth of a Nation,The Slaver","The Troubles of Sambo and Dinah,The Slacker,Colored Soldiers Fighting in Mexico,The Dawn of Truth,Progress of the Negro,Re-Birth of a Nation,The Slaver","For the Honor of the 8th Ill. U.S.A.,The Dawn of Truth,Negro Soldiers Fighting for Uncle Sam,The Troubles of Sambo and Dinah,The Slacker",The Ambitions of William Foster,,,
Jones,Wesley,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Jones,Maud,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Jones,Peter P.,,,,,,,,,,,,Peter P. Jones Photoplay Ltd.,
Jordan,Sam,,,,,,The Flying Ace,,,,Oscar Micheaux and His Circle,,,
Joynes,Elvin,,,,,,The Barber,,,,The Ambitions of William Foster,,,
Kelly,Howard,,,,,,The Barber,,,,The Ambitions of William Foster,,,
Kelly,Mabel,,,,,,Thirty Years Later,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Kemp,Mae,,,,,,The Call of His People,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Langford,Sam,,3/4/1883,1/12/56,,,The Brute,,,,,,,
Larkin,George,,,,,,"The Bull-Dogger,The Crimson Skull",,,,Oscar Micheaux and His Circle,,,
Lee,Will,,,,,,"Smiling Hate,Steppin' High",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Levy,Robert,,,,,,,"The Schemers,Easy Money,The Simp,The Leader of His Race,Ties of Blood,The Eyes of Youth","The Sport of the Gods,Eyes of Youth,The Leader of His Race,Ties of Blood",,Richard E. Norman and Race Filmmaking,,Reol Productions Corporation,
Ligouri,Al,,,,,,,,,The Scar of Shame,Slow Fade to Black,,,
Lillerson,Edgar,,,,,,The Barber,,,,The Ambitions of William Foster,,,
Lillison,Edgar,,,,"Field: ""In The Railroad Porter,
Figure 3.1 Juli Jones, Jr./William Foster (Half-Century, June 1919).
56 Allyson Nadia Field
the wife is seduced by the waiter, â€œa fashionably dressed chapâ€ù who is masquerading
as the proprietor of the Elite CafÃ©.8 The waiter, however, was
played by Edgar Lillison, who was in fact the proprietor of the Elite CafÃ©.9"" (55-56)
",,The Railroad Porter,,,,,,,
Lincoln,Rosa Lee,,,,,,Absent,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Lucas,Buck,,,,,,The Bull-Dogger,,,,Oscar Micheaux and His Circle,,,
Lucas,Charles D.,,,,,,"Within Our Gates,The Homesteader",,,,Slow Fade to Black,,,
marsh,,,,,,,,,,,,,,
Marshall,John,Colonel John R. Marshall,,,,,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,,The Ambitions of William Foster,,,
Marshall,Jimmy,,,,,,Aladdin Jones,,,,,,,
Martin,Daisy,,,,,,Spitfire,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Mason,Ruby,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Mason,Julia,,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,""When You Are Scared, Run"",""When You Hit, Hit Hard"",Wrong All Around",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Massey,P.,,,,,,The Wife Hunters,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Maurice,Richard Danal,,,,,,"Eleven P.M.,Nobody's Children","Eleven P.M.,Return of Black Hawk","Eleven P.M.,Return of Black Hawk",,,,,
Maxwell,M.C.,,,,,,Regeneration,,,,Oscar Micheaux and His Circle,,,
Mayo,Stella,,,,,,Regeneration,,,,Oscar Micheaux and His Circle,,,
McClain,Florence,,,,,,Aladdin Jones,,,,,,,
McGuire,Lawrence,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
